t,current
0,93
0.05,105
0.1,117
0.15,123
0.2,137
0.25,140
0.3,161
0.35,164
0.4,187
0.45,181
0.5,196
0.55,187
0.6,193
0.65,184
0.7,193
0.75,184
0.8,175
0.85,173
0.9,14
0.95,8
1.0,43
1.05,70
1.1,52
1.15,46
1.2,85
1.25,67
1.3,96
1.35,102
1.4,108
1.45,134
1.5,111
1.55,134
1.6,129
1.65,161
1.7,146
1.75,161
1.8,187
1.85,158
1.9,181
1.95,193
2.0,178
2.05,175
2.1,146
2.15,181
2.2,158
2.25,17
2.3,5
2.35,26
2.4,73
2.45,46
2.5,46
2.55,52
2.6,70
2.65,76
2.7,90
2.75,111
2.8,93
2.85,123
2.9,129
2.95,140
3.0,164
3.05,164
3.1,149
3.15,217
3.2,193
3.25,178
3.3,193
3.35,170
3.4,196
3.45,178
3.5,184
3.55,152
3.6,38
3.65,20
3.7,23
3.75,64
3.8,43
3.85,41
3.9,76
3.95,70
4.0,82
4.05,105
4.1,114
4.15,123
4.2,126
4.25,123
4.3,158
4.35,158
4.4,173
4.45,161
4.5,158
4.55,190
4.6,196
4.65,175
4.7,199
4.75,170
4.8,178
4.85,164
4.9,170
4.95,35
5.0,14
5.05,35
5.1,67
5.15,43
5.2,46
5.25,46
5.3,67
5.35,90
5.4,102
5.45,79
5.5,117
5.55,117
5.6,170
5.65,126
5.7,173
5.75,134
5.8,187
5.85,170
5.9,208
5.95,199
6.0,181
6.05,181
6.1,181
6.15,190
6.2,167
6.25,208
6.3,49
6.35,11
6.4,14
6.45,76
6.5,58
6.55,41
6.6,99
6.65,73
6.7,90
6.75,96
6.8,114
6.85,134
6.9,114
6.95,143
7.0,155
7.05,167
7.1,158
7.15,164
7.2,170
7.25,190
7.3,158
7.35,217
7.4,173
7.45,170
7.5,173
7.55,184
7.6,181
7.65,55
7.7,17
7.75,17
7.8,61
7.85,43
7.9,61
7.95,61
8.0,58
8.05,87
8.1,87
8.15,85
8.2,111
8.25,117
8.3,137
8.35,146
8.4,140
8.45,175
8.5,178
8.55,178
8.6,184
8.65,196
8.7,205
8.75,158
8.8,217
8.85,175
8.9,196
8.95,164
9.0,79
9.05,11
9.1,14
9.15,52
9.2,79
9.25,58
9.3,64
9.35,35
9.4,102
9.45,90
9.5,111
9.55,126
9.6,126
9.65,129
9.7,140
9.75,149
9.8,164
9.85,170
9.9,161
9.95,190
