t,current
0,93
0.05,123
0.1,126
0.15,126
0.2,143
0.25,158
0.3,173
0.35,170
0.4,178
0.45,178
0.5,208
0.55,199
0.6,196
0.65,249
0.7,263
0.75,275
0.8,82
0.85,41
0.9,58
0.95,46
1.0,49
1.05,61
1.1,49
1.15,96
1.2,149
1.25,167
1.3,249
1.35,304
1.4,384
1.45,434
1.5,466
1.55,589
1.6,598
1.65,695
1.7,727
1.75,671
1.8,665
1.85,554
1.9,410
1.95,290
2.0,208
2.05,175
2.1,173
2.15,26
2.2,14
2.25,61
2.3,52
2.35,52
2.4,61
2.45,52
2.5,120
2.55,111
2.6,187
2.65,149
2.7,208
2.75,231
2.8,313
2.85,340
2.9,387
2.95,436
3.0,524
3.05,521
3.1,554
3.15,595
3.2,697
3.25,686
3.3,695
3.35,665
3.4,387
3.45,219
3.5,49
3.55,14
3.6,17
3.65,82
3.7,76
3.75,73
3.8,85
3.85,143
3.9,202
3.95,266
4.0,302
4.05,354
4.1,422
4.15,390
4.2,478
4.25,510
4.3,513
4.35,633
4.4,609
4.45,736
4.5,653
4.55,727
4.6,709
4.65,724
4.7,671
4.75,486
4.8,343
4.85,67
4.9,11
4.95,29
5.0,61
5.05,55
5.1,49
5.15,61
5.2,70
5.25,111
5.3,140
5.35,222
5.4,217
5.45,281
5.5,313
5.55,428
5.6,428
5.65,498
5.7,583
5.75,612
5.8,659
5.85,601
5.9,721
5.95,686
6.0,841
6.05,753
6.1,577
6.15,304
6.2,108
6.25,5
6.3,85
6.35,64
6.4,64
6.45,99
6.5,181
6.55,217
6.6,287
6.65,328
6.7,348
6.75,419
6.8,416
6.85,463
6.9,501
6.95,560
7.0,703
7.05,686
7.1,844
7.15,856
7.2,850
7.25,715
7.3,510
7.35,445
7.4,299
7.45,161
7.5,96
7.55,8
7.6,11
7.65,73
7.7,67
7.75,76
7.8,55
7.85,123
7.9,131
7.95,140
8.0,181
8.05,211
8.1,266
8.15,304
8.2,398
8.25,451
8.3,545
8.35,715
8.4,756
8.45,870
8.5,909
8.55,956
8.6,923
8.65,1129
8.7,1158
8.75,401
8.8,175
8.85,93
8.9,20
8.95,17
9.0,70
9.05,67
9.1,70
9.15,61
9.2,76
9.25,108
9.3,140
9.35,152
9.4,187
9.45,228
9.5,263
9.55,302
9.6,316
9.65,366
9.7,395
9.75,469
9.8,513
9.85,577
9.9,659
9.95,686
