t,current
0,87
0.05,152
0.1,219
0.15,249
0.2,284
0.25,334
0.3,410
0.35,492
0.4,560
0.45,633
0.5,674
0.55,715
0.6,812
0.65,947
0.7,868
0.75,897
0.8,765
0.85,671
0.9,609
0.95,469
1.0,416
1.05,134
1.1,26
1.15,46
1.2,38
1.25,87
1.3,61
1.35,52
1.4,49
1.45,96
1.5,93
1.55,108
1.6,129
1.65,123
1.7,120
1.75,155
1.8,146
1.85,143
1.9,164
1.95,170
2.0,196
2.05,137
2.1,214
2.15,173
2.2,190
2.25,170
2.3,190
2.35,190
2.4,46
2.45,11
2.5,20
2.55,70
2.6,49
2.65,73
2.7,146
2.75,211
2.8,293
2.85,434
2.9,489
2.95,548
3.0,633
3.05,671
3.1,741
3.15,777
3.2,700
3.25,865
3.3,914
3.35,909
3.4,964
3.45,944
3.5,718
3.55,307
3.6,146
3.65,20
3.7,11
3.75,52
3.8,46
3.85,55
3.9,58
3.95,87
4.0,64
4.05,111
4.1,102
4.15,105
4.2,131
4.25,117
4.3,131
4.35,161
4.4,146
4.45,181
4.5,155
4.55,167
4.6,190
4.65,167
4.7,184
4.75,190
4.8,181
4.85,193
4.9,152
4.95,93
5.0,11
5.05,14
5.1,55
5.15,52
5.2,73
5.25,58
5.3,140
5.35,184
5.4,263
5.45,348
5.5,398
5.55,448
5.6,519
5.65,548
5.7,612
5.75,665
5.8,774
5.85,821
5.9,876
5.95,806
6.0,709
6.05,656
6.1,615
6.15,656
6.2,659
6.25,601
6.3,381
6.35,126
6.4,52
6.45,23
6.5,79
6.55,64
6.6,52
6.65,46
6.7,82
6.75,108
6.8,99
6.85,108
6.9,129
6.95,126
7.0,134
7.05,164
7.1,149
7.15,184
7.2,155
7.25,181
7.3,152
7.35,202
7.4,167
7.45,158
7.5,178
7.55,155
7.6,173
7.65,117
7.7,11
7.75,29
7.8,76
7.85,87
7.9,111
7.95,175
8.0,284
8.05,290
8.1,334
8.15,334
8.2,398
8.25,434
8.3,439
8.35,521
8.4,495
8.45,662
8.5,689
8.55,747
8.6,850
8.65,826
8.7,835
8.75,815
8.8,912
8.85,882
8.9,882
8.95,806
9.0,604
9.05,302
9.1,228
9.15,143
9.2,67
9.25,49
9.3,49
9.35,87
9.4,93
9.45,96
9.5,105
9.55,126
9.6,137
9.65,137
9.7,129
9.75,131
9.8,140
9.85,167
9.9,190
9.95,167
