t,current
0,140
0.05,149
0.1,164
0.15,178
0.2,161
0.25,211
0.3,170
0.35,167
0.4,199
0.45,170
0.5,190
0.55,175
0.6,93
0.65,14
0.7,8
0.75,82
0.8,55
0.85,52
0.9,49
0.95,55
1.0,102
1.05,93
1.1,105
1.15,129
1.2,149
1.25,126
1.3,137
1.35,164
1.4,149
1.45,175
1.5,170
1.55,170
1.6,181
1.65,158
1.7,178
1.75,161
1.8,175
1.85,184
1.9,149
1.95,82
2.0,17
2.05,17
2.1,67
2.15,46
2.2,61
2.25,52
2.3,49
2.35,85
2.4,96
2.45,99
2.5,102
2.55,99
2.6,117
2.65,149
2.7,129
2.75,137
2.8,175
2.85,173
2.9,161
2.95,199
3.0,187
3.05,184
3.1,196
3.15,173
3.2,205
3.25,173
3.3,105
3.35,17
3.4,8
3.45,55
3.5,67
3.55,52
3.6,76
3.65,55
3.7,90
3.75,93
3.8,120
3.85,111
3.9,140
3.95,167
4.0,120
4.05,146
4.1,131
4.15,202
4.2,164
4.25,170
4.3,167
4.35,184
4.4,187
4.45,167
4.5,190
4.55,161
4.6,178
4.65,117
4.7,8
4.75,5
4.8,64
4.85,52
4.9,49
4.95,49
5.0,41
5.05,93
5.1,87
5.15,126
5.2,99
5.25,129
5.3,120
5.35,146
5.4,149
5.45,131
5.5,187
5.55,164
5.6,193
5.65,184
5.7,217
5.75,140
5.8,187
5.85,175
5.9,173
5.95,193
6.0,123
6.05,17
6.1,5
6.15,61
6.2,70
6.25,52
6.3,55
6.35,49
6.4,87
6.45,90
6.5,114
6.55,134
6.6,137
6.65,137
6.7,146
6.75,140
6.8,155
6.85,187
6.9,170
6.95,178
7.0,158
7.05,214
7.1,161
7.15,181
7.2,187
7.25,170
7.3,170
7.35,120
7.4,14
7.45,2
7.5,64
7.55,67
7.6,43
7.65,49
7.7,79
7.75,67
7.8,105
7.85,99
7.9,105
7.95,114
8.0,134
8.05,140
8.1,146
8.15,146
8.2,155
8.25,187
8.3,161
8.35,193
8.4,208
8.45,184
8.5,167
8.55,193
8.6,193
8.65,170
8.7,161
8.75,20
8.8,5
8.85,38
8.9,82
8.95,52
9.0,55
9.05,61
9.1,102
9.15,90
9.2,117
9.25,129
9.3,117
9.35,146
9.4,131
9.45,149
9.5,164
9.55,161
9.6,167
9.65,164
9.7,170
9.75,173
9.8,178
9.85,187
9.9,167
9.95,155
