current,position,velocity,time
79,3390,4707,0.0
96,3090,5306,-0.0624
111,2754,5906,-0.1254
117,2381,6505,-0.1879
129,1973,7105,-0.2503
134,1529,7704,-0.3124
137,1048,8303,-0.3753
167,532,8903,-0.4378
158,-20,9502,-0.5003
199,-812,10301,-0.5624
193,-1448,10901,-0.6253
173,-2120,11500,-0.6877
231,-2828,12100,-0.7502
193,-3572,12699,-0.8123
211,-4352,13298,-0.8752
231,-4493,399,-0.9377
29,-4451,999,-1.0002
14,-4339,1798,-1.0623
87,-4213,2397,-1.1252
43,-4051,2997,-1.1921
46,-3853,3596,-1.2536
55,-3619,4195,-1.3042
79,-3350,4795,-1.3652
102,-3044,5394,-1.4312
90,-2820,5994,-1.4857
99,-2455,6593,-1.5418
108,-2053,6993,-1.5994
146,-1615,7592,-1.6543
131,-1142,8191,-1.7097
149,-806,8791,-1.7646
175,-87,9390,-1.8338
167,495,9990,-1.8885
199,1112,10589,-1.951
181,1543,10989,-2.0047
225,2221,11588,-2.0588
196,2934,12187,-2.1139
217,3683,12787,-2.1661
260,4203,13186,-2.2207
211,4498,399,-2.2818
35,4450,999,-2.3444
17,4372,1598,-2.4069
87,4258,2197,-2.4694
58,4108,2797,-2.5318
52,3922,3396,-2.5943
52,3700,3996,-2.6569
102,3443,4595,-2.7193
105,3149,5394,-2.7817
114,2701,5994,-2.8443
117,2324,6593,-2.9068
129,1910,7192,-2.9693
143,1461,7792,-3.0316
137,975,8391,-3.0942
164,454,8991,-3.1567
181,-104,9590,-3.2192
193,-697,10389,-3.2816
202,-1544,10989,-3.3442
184,-2222,11588,-3.4067
187,-2935,12187,-3.4692
205,-3684,12787,-3.5315
181,-4470,13386,-3.5941
237,-4493,399,-3.6566
17,-4451,999,-3.7191
14,-4373,1798,-3.7814
61,-4213,2397,-3.8441
43,-4051,2997,-3.9066
79,-3853,3596,-3.969
43,-3619,4195,-4.0312
82,-3350,4795,-4.094
93,-3044,5394,-4.1565
117,-2702,5994,-4.219
114,-2325,6793,-4.2813
129,-1765,7392,-4.3439
129,-1304,7992,-4.4064
152,-806,8591,-4.4689
184,-273,9190,-4.5311
155,297,9790,-4.5939
196,902,10389,-4.6563
217,1543,10989,-4.7189
193,2221,11588,-4.7812
225,3180,12387,-4.8438
199,3941,12987,-4.9063
222,4500,0,-4.9685
120,4482,599,-5.0311
11,4428,1198,-5.0938
11,4338,1798,-5.1562
73,4212,2397,-5.2187
52,4050,3196,-5.281
64,3778,3796,-5.3437
43,3532,4395,-5.4062
96,3251,4995,-5.4687
114,2933,5594,-5.531
105,2579,6193,-5.5937
120,2190,6793,-5.6561
149,1764,7392,-5.7186
140,1303,8191,-5.7809
164,631,8791,-5.8436
143,86,9390,-5.9061
164,-495,9990,-5.9686
193,-1113,10589,-6.0308
167,-1766,11188,-6.0935
225,-2456,11788,-6.156
205,-3181,12387,-6.2185
211,-3942,12987,-6.2807
219,-4499,199,-6.3435
140,-4469,799,-6.406
5,-4403,1398,-6.4684
52,-4301,1998,-6.5307
61,-4163,2597,-6.5934
58,-3989,3196,-6.6559
55,-3779,3796,-6.7184
87,-3533,4395,-6.7806
85,-3150,5194,-6.8434
79,-2820,5794,-6.9058
93,-2455,6393,-6.9683
134,-2053,6993,-7.0305
126,-1615,7592,-7.0933
134,-1142,8191,-7.1558
155,-632,8791,-7.2182
173,-87,9390,-7.2805
187,696,10189,-7.3432
170,1326,10789,-7.4057
187,1991,11388,-7.4682
202,2692,11988,-7.5304
208,3430,12587,-7.5932
219,4203,13186,-7.6556
181,4498,199,-7.7181
26,4468,799,-7.7803
14,4372,1598,-7.8431
38,4258,2197,-7.9056
55,4108,2797,-7.9681
52,3922,3396,-8.0303
43,3700,3996,-8.0931
73,3443,4595,-8.1556
114,3149,5194,-8.218
87,2819,5794,-8.2802
134,2324,6593,-8.343
126,1910,7192,-8.4055
137,1461,7792,-8.468
158,975,8391,-8.5301
143,454,8991,-8.5929
196,-104,9590,-8.6554
178,-697,10189,-8.7179
175,-1327,10789,-8.7801
205,-2222,11588,-8.8429
190,-2935,12187,-8.9054
196,-3684,12787,-8.9678
234,-4470,13386,-9.03
196,-4493,399,-9.0921
23,-4451,999,-9.1547
49,-4373,1598,-9.2174
52,-4259,2197,-9.28
38,-4109,2997,-9.3421
