current,position,velocity,time
52,-3853,3596,-9.4202
61,-3533,4395,-9.4831
90,-3252,4995,-9.5456
108,-2934,5594,-9.6083
85,-2580,6193,-9.6701
120,-2191,6793,-9.7333
114,-1765,7392,-9.7951
140,-1304,7992,-9.8583
178,-806,8791,-9.9208
143,-87,9390,-9.9829
190,495,9990,-10.0452
184,1112,10589,-10.108
211,1765,11188,-10.1705
208,2455,11788,-10.2332
199,3180,12387,-10.295
234,3941,12987,-10.3581
260,4500,0,-10.4207
52,4468,799,-10.4831
20,4402,1398,-10.5449
5,4300,1998,-10.6081
55,4162,2597,-10.6702
52,3988,3196,-10.7324
55,3778,3796,-10.7949
64,3532,4395,-10.8578
114,3251,4995,-10.9203
96,2933,5794,-10.9823
117,2454,6393,-11.045
96,2052,6993,-11.1073
123,1614,7592,-11.1701
143,1141,8191,-11.233
146,631,8791,-11.295
170,86,9390,-11.3579
181,-495,9990,-11.4204
167,-1113,10789,-11.4822
222,-1992,11388,-11.5447
184,-2693,11988,-11.6075
184,-3431,12587,-11.6697
225,-4204,13186,-11.7328
190,-4499,199,-11.7949
108,-4469,799,-11.8578
11,-4403,1398,-11.9203
64,-4259,2197,-11.9977
58,-4109,2797,-12.0603
73,-3923,3596,-12.1227
41,-3619,4195,-12.1851
85,-3350,4795,-12.2483
90,-3044,5394,-12.3108
111,-2702,5994,-12.3733
111,-2325,6593,-12.4358
129,-1911,7192,-12.4982
137,-1462,7792,-12.5608
164,-806,8591,-12.6233
158,-273,9190,-12.6851
208,297,9790,-12.7476
158,902,10389,-12.81
173,1543,10989,-12.8725
