t,current,position,velocity,time
0,143,1863,7255,-0.013
0.05,111,1565,7655,-0.0668
0.1,161,1088,8254,-0.122
0.15,137,575,8854,-0.1768
0.2,155,212,9453,-0.2313
0.25,193,-361,9853,-0.2856
0.3,175,-970,10452,-0.3396
0.35,178,-1615,11052,-0.3938
0.4,187,-2065,11451,-0.4483
0.45,184,-2770,12051,-0.5032
0.5,217,-3511,12650,-0.5586
0.55,202,-4288,13249,-0.6142
0.6,202,-4499,199,-0.6684
0.65,17,-4469,799,-0.7233
0.7,8,-4403,1398,-0.7777
0.75,32,-4339,1998,-0.832
0.8,52,-4213,2397,-0.8868
0.85,41,-4051,2997,-0.9425
0.9,46,-3853,3596,-0.9965
0.95,70,-3701,4195,-1.0516
1.0,85,-3444,4595,-1.1073
1.05,73,-3150,5194,-1.1617
1.1,85,-2820,5794,-1.2158
1.15,93,-2580,6193,-1.2697
1.2,137,-2191,6793,-1.3228
1.25,146,-1765,7392,-1.3771
1.3,117,-1462,7992,-1.4317
1.35,149,-976,8391,-1.4864
1.4,158,-455,8991,-1.5421
1.45,164,103,9590,-1.5973
1.5,158,495,10189,-1.6511
1.55,193,1112,10589,-1.7056
1.6,187,1765,11188,-1.7596
1.65,222,2455,11788,-1.8136
1.7,184,2934,12187,-1.868
1.75,217,3683,12787,-1.9237
1.8,240,4469,13386,-1.9782
1.85,208,4492,399,-2.0325
1.9,17,4468,799,-2.0872
1.95,14,4402,1398,-2.1416
2.0,23,4300,1998,-2.1958
2.05,76,4212,2597,-2.2505
2.1,58,4050,2997,-2.3043
2.15,46,3852,3596,-2.3585
2.2,46,3618,4195,-2.4127
2.25,76,3443,4595,-2.467
2.3,102,3149,5194,-2.5216
2.35,93,2819,5794,-2.5755
2.4,123,2579,6393,-2.6304
2.45,137,2190,6793,-2.6851
2.5,123,1764,7392,-2.7395
2.55,129,1303,7992,-2.7951
2.6,152,975,8391,-2.8495
2.65,146,454,8991,-2.9033
2.7,161,-104,9590,-2.9576
2.75,173,-697,10189,-3.0127
2.8,167,-1113,10589,-3.0668
2.85,187,-1766,11188,-3.1215
2.9,217,-2456,11788,-3.1755
2.95,193,-2935,12187,-3.2296
3.0,214,-3684,12787,-3.2839
3.05,205,-4470,13386,-3.3388
3.1,228,-4493,399,-3.3935
3.15,41,-4469,799,-3.4479
3.2,11,-4403,1398,-3.5018
3.25,17,-4301,1998,-3.5561
3.3,61,-4213,2597,-3.6106
3.35,49,-4051,2997,-3.6651
3.4,49,-3853,3596,-3.719
3.45,64,-3619,4195,-3.7732
3.5,102,-3444,4595,-3.8286
3.55,99,-3150,5194,-3.8832
3.6,108,-2820,5794,-3.9387
3.65,105,-2455,6393,-3.9926
