t,current
0,58
0.05,49
0.1,55
0.15,67
0.2,96
0.25,120
0.3,117
0.35,178
0.4,187
0.45,240
0.5,348
0.55,445
0.6,431
0.65,545
0.7,524
0.75,604
0.8,483
0.85,483
0.9,489
0.95,533
1.0,307
1.05,161
1.1,143
1.15,73
1.2,8
1.25,55
1.3,67
1.35,76
1.4,126
1.45,164
1.5,199
1.55,263
1.6,269
1.65,351
1.7,372
1.75,466
1.8,495
1.85,574
1.9,630
1.95,630
2.0,736
2.05,645
2.1,645
2.15,609
2.2,586
2.25,533
2.3,466
2.35,287
2.4,178
2.45,155
2.5,87
2.55,14
2.6,35
2.65,29
2.7,46
2.75,43
2.8,108
2.85,76
2.9,158
2.95,167
3.0,164
3.05,199
3.1,208
3.15,214
3.2,299
3.25,284
3.3,346
3.35,378
3.4,416
3.45,524
3.5,431
3.55,448
3.6,428
3.65,431
3.7,237
3.75,61
3.8,76
3.85,61
3.9,43
3.95,52
4.0,76
4.05,43
4.1,117
4.15,190
4.2,208
4.25,211
4.3,275
4.35,269
4.4,316
4.45,340
4.5,392
4.55,448
4.6,510
4.65,533
4.7,530
4.75,583
4.8,565
4.85,618
4.9,604
4.95,580
5.0,557
5.05,527
5.1,395
5.15,255
5.2,146
5.25,58
5.3,14
5.35,11
5.4,8
5.45,20
5.5,64
5.55,61
5.6,120
5.65,137
5.7,184
5.75,252
5.8,284
5.85,375
5.9,392
5.95,463
6.0,472
6.05,554
6.1,583
6.15,653
6.2,753
6.25,853
6.3,885
6.35,771
6.4,677
6.45,102
6.5,79
6.55,55
6.6,41
6.65,52
6.7,52
6.75,137
6.8,193
6.85,290
6.9,316
6.95,390
7.0,428
7.05,507
7.1,504
7.15,630
7.2,715
7.25,759
7.3,791
7.35,797
7.4,703
7.45,545
7.5,422
7.55,351
7.6,328
7.65,219
7.7,240
7.75,146
7.8,29
7.85,29
7.9,23
7.95,41
8.0,38
8.05,46
8.1,35
8.15,55
8.2,99
8.25,120
8.3,187
8.35,243
8.4,275
8.45,331
8.5,357
8.55,381
8.6,422
8.65,475
8.7,436
8.75,524
8.8,607
8.85,762
8.9,554
8.95,480
9.0,381
9.05,258
9.1,79
9.15,41
9.2,46
9.25,55
9.3,49
9.35,105
9.4,134
9.45,187
9.5,222
9.55,249
9.6,319
9.65,328
9.7,378
9.75,401
9.8,434
9.85,483
9.9,472
9.95,524
