t,current
0,205
0.05,111
0.1,14
0.15,11
0.2,64
0.25,58
0.3,55
0.35,67
0.4,43
0.45,87
0.5,67
0.55,76
0.6,117
0.65,102
0.7,123
0.75,140
0.8,155
0.85,146
0.9,140
0.95,193
1.0,175
1.05,170
1.1,222
1.15,158
1.2,211
1.25,175
1.3,190
1.35,193
1.4,143
1.45,23
1.5,8
1.55,52
1.6,70
1.65,52
1.7,52
1.75,58
1.8,82
1.85,85
1.9,126
1.95,99
2.0,123
2.05,120
2.1,137
2.15,146
2.2,155
2.25,167
2.3,161
2.35,184
2.4,181
2.45,193
2.5,167
2.55,178
2.6,152
2.65,187
2.7,175
2.75,134
2.8,11
2.85,20
2.9,43
2.95,67
3.0,46
3.05,52
3.1,43
3.15,79
3.2,73
3.25,108
3.3,99
3.35,99
3.4,143
3.45,143
3.5,155
3.55,146
3.6,152
3.65,196
3.7,178
3.75,187
3.8,196
3.85,187
3.9,175
3.95,178
4.0,205
4.05,196
4.1,146
4.15,29
4.2,17
4.25,49
4.3,61
4.35,58
4.4,76
4.45,46
4.5,85
4.55,99
4.6,99
4.65,105
4.7,137
4.75,117
4.8,137
4.85,152
4.9,155
4.95,199
5.0,164
5.05,167
5.1,178
5.15,181
5.2,208
5.25,167
5.3,173
5.35,170
5.4,178
5.45,161
5.5,23
5.55,8
5.6,35
5.65,67
5.7,46
5.75,46
5.8,52
5.85,58
5.9,67
5.95,105
6.0,102
6.05,96
6.1,134
6.15,134
6.2,143
6.25,146
6.3,173
6.35,161
6.4,211
6.45,173
6.5,217
6.55,205
6.6,184
6.65,181
6.7,181
6.75,202
6.8,155
6.85,38
6.9,17
6.95,17
7.0,102
7.05,46
7.1,46
7.15,43
7.2,76
7.25,90
7.3,105
7.35,108
7.4,117
7.45,123
7.5,140
7.55,140
7.6,152
7.65,167
7.7,181
7.75,178
7.8,170
7.85,202
7.9,170
7.95,214
8.0,181
8.05,164
8.1,178
8.15,170
8.2,29
8.25,17
8.3,35
8.35,67
8.4,38
8.45,46
8.5,43
8.55,76
8.6,79
8.65,105
8.7,82
8.75,102
8.8,111
8.85,164
8.9,126
8.95,170
9.0,126
9.05,184
9.1,158
9.15,196
9.2,184
9.25,178
9.3,193
9.35,164
9.4,196
9.45,178
9.5,196
9.55,38
9.6,17
9.65,8
9.7,76
9.75,55
9.8,46
9.85,58
9.9,58
9.95,82
