t,current
0,52
0.05,61
0.1,67
0.15,85
0.2,93
0.25,105
0.3,129
0.35,158
0.4,184
0.45,214
0.5,275
0.55,269
0.6,357
0.65,331
0.7,404
0.75,425
0.8,448
0.85,448
0.9,416
0.95,457
1.0,413
1.05,372
1.1,164
1.15,76
1.2,93
1.25,32
1.3,38
1.35,41
1.4,52
1.45,38
1.5,46
1.55,90
1.6,82
1.65,99
1.7,102
1.75,164
1.8,134
1.85,143
1.9,164
1.95,202
2.0,202
2.05,243
2.1,243
2.15,293
2.2,255
2.25,290
2.3,293
2.35,307
2.4,372
2.45,214
2.5,120
2.55,99
2.6,41
2.65,35
2.7,55
2.75,26
2.8,46
2.85,79
2.9,131
2.95,108
3.0,114
3.05,126
3.1,137
3.15,175
3.2,175
3.25,225
3.3,275
3.35,328
3.4,331
3.45,366
3.5,436
3.55,431
3.6,460
3.65,442
3.7,486
3.75,448
3.8,225
3.85,102
3.9,131
3.95,49
4.0,43
4.05,43
4.1,46
4.15,82
4.2,73
4.25,87
4.3,90
4.35,108
4.4,134
4.45,181
4.5,181
4.55,243
4.6,304
4.65,325
4.7,384
4.75,398
4.8,454
4.85,568
4.9,651
4.95,557
5.0,442
5.05,378
5.1,269
5.15,196
5.2,32
5.25,49
5.3,32
5.35,73
5.4,58
5.45,43
5.5,52
5.55,73
5.6,111
5.65,129
5.7,134
5.75,184
5.8,199
5.85,246
5.9,343
5.95,319
6.0,431
6.05,392
6.1,428
6.15,463
6.2,436
6.25,521
6.3,501
6.35,527
6.4,507
6.45,486
6.5,322
6.55,108
6.6,76
6.65,46
6.7,64
6.75,38
6.8,67
6.85,90
6.9,64
6.95,85
7.0,108
7.05,99
7.1,108
7.15,152
7.2,149
7.25,175
7.3,173
7.35,246
7.4,258
7.45,346
7.5,366
7.55,451
7.6,648
7.65,771
7.7,680
7.75,653
7.8,428
7.85,199
7.9,140
7.95,123
8.0,43
8.05,55
8.1,41
8.15,73
8.2,85
8.25,85
8.3,70
8.35,105
8.4,99
8.45,143
8.5,114
8.55,129
8.6,152
8.65,175
8.7,237
8.75,199
8.8,299
8.85,293
8.9,363
8.95,384
9.0,469
9.05,442
9.1,457
9.15,369
9.2,117
9.25,108
9.3,70
9.35,26
9.4,43
9.45,49
9.5,49
9.55,76
9.6,67
9.65,108
9.7,93
9.75,96
9.8,120
9.85,126
9.9,131
9.95,149
