t,current
0,161
0.05,14
0.1,23
0.15,58
0.2,46
0.25,58
0.3,58
0.35,52
0.4,87
0.45,96
0.5,99
0.55,120
0.6,126
0.65,117
0.7,152
0.75,140
0.8,158
0.85,181
0.9,167
0.95,161
1.0,184
1.05,205
1.1,167
1.15,178
1.2,205
1.25,184
1.3,181
1.35,117
1.4,11
1.45,2
1.5,58
1.55,46
1.6,55
1.65,64
1.7,87
1.75,93
1.8,105
1.85,131
1.9,102
1.95,152
2.0,131
2.05,129
2.1,146
2.15,155
2.2,190
2.25,164
2.3,187
2.35,164
2.4,214
2.45,175
2.5,158
2.55,211
2.6,202
2.65,117
2.7,8
2.75,17
2.8,55
2.85,67
2.9,43
2.95,52
3.0,41
3.05,93
3.1,67
3.15,99
3.2,123
3.25,96
3.3,134
3.35,140
3.4,143
3.45,143
3.5,146
3.55,181
3.6,184
3.65,164
3.7,208
3.75,170
3.8,178
3.85,175
3.9,205
3.95,184
4.0,140
4.05,17
4.1,11
4.15,38
4.2,76
4.25,49
4.3,52
4.35,46
4.4,87
4.45,105
4.5,99
4.55,146
4.6,114
4.65,131
4.7,131
4.75,161
4.8,175
4.85,175
4.9,167
4.95,161
5.0,173
5.05,190
5.1,158
5.15,158
5.2,164
5.25,140
5.3,17
5.35,5
5.4,61
5.45,73
5.5,46
5.55,61
5.6,46
5.65,73
5.7,90
5.75,90
5.8,108
5.85,105
5.9,152
5.95,123
6.0,158
6.05,134
6.1,158
6.15,178
6.2,184
6.25,181
6.3,184
6.35,193
6.4,170
6.45,199
6.5,193
6.55,173
6.6,161
6.65,14
6.7,14
6.75,35
6.8,82
6.85,46
6.9,41
6.95,52
7.0,70
7.05,93
7.1,87
7.15,117
7.2,114
7.25,146
7.3,129
7.35,158
7.4,143
7.45,164
7.5,158
7.55,164
7.6,170
7.65,205
7.7,199
7.75,152
7.8,184
7.85,158
7.9,190
7.95,161
8.0,14
8.05,17
8.1,38
8.15,49
8.2,43
8.25,46
8.3,85
8.35,79
8.4,96
8.45,105
8.5,93
8.55,120
8.6,111
8.65,158
8.7,140
8.75,175
8.8,161
8.85,155
8.9,187
8.95,178
9.0,184
9.05,196
9.1,178
9.15,164
9.2,190
9.25,187
9.3,181
9.35,43
9.4,17
9.45,23
9.5,64
9.55,55
9.6,46
9.65,79
9.7,87
9.75,90
9.8,105
9.85,123
9.9,126
9.95,131
