t,current
0,208
0.05,284
0.1,334
0.15,384
0.2,439
0.25,436
0.3,501
0.35,492
0.4,466
0.45,431
0.5,469
0.55,516
0.6,457
0.65,475
0.7,293
0.75,87
0.8,82
0.85,67
0.9,35
0.95,35
1.0,29
1.05,58
1.1,87
1.15,64
1.2,73
1.25,85
1.3,82
1.35,90
1.4,120
1.45,108
1.5,111
1.55,181
1.6,205
1.65,222
1.7,263
1.75,307
1.8,258
1.85,258
1.9,196
1.95,202
2.0,175
2.05,131
2.1,8
2.15,8
2.2,43
2.25,61
2.3,41
2.35,46
2.4,79
2.45,79
2.5,93
2.55,85
2.6,126
2.65,126
2.7,126
2.75,155
2.8,152
2.85,161
2.9,152
2.95,173
3.0,173
3.05,164
3.1,178
3.15,190
3.2,161
3.25,155
3.3,202
3.35,161
3.4,140
3.45,8
3.5,5
3.55,64
3.6,64
3.65,43
3.7,58
3.75,49
3.8,79
3.85,73
3.9,102
3.95,102
4.0,90
4.05,108
4.1,134
4.15,146
4.2,143
4.25,143
4.3,181
4.35,181
4.4,187
4.45,199
4.5,225
4.55,266
4.6,316
4.65,310
4.7,143
4.75,126
4.8,117
4.85,52
4.9,17
4.95,20
5.0,23
5.05,20
5.1,58
5.15,67
5.2,137
5.25,134
5.3,161
5.35,146
5.4,217
5.45,272
5.5,398
5.55,533
5.6,715
5.65,744
5.7,703
5.75,630
5.8,431
5.85,225
5.9,155
5.95,149
6.0,20
6.05,5
6.1,23
6.15,55
6.2,49
6.25,46
6.3,52
6.35,73
6.4,85
6.45,96
6.5,108
6.55,108
6.6,146
6.65,217
6.7,214
6.75,334
6.8,398
6.85,521
6.9,686
6.95,818
7.0,991
7.05,1038
7.1,956
7.15,548
7.2,228
7.25,178
7.3,149
7.35,38
7.4,17
7.45,26
7.5,67
7.55,52
7.6,55
7.65,64
7.7,85
7.75,96
7.8,90
7.85,111
7.9,105
7.95,131
8.0,120
8.05,134
8.1,140
8.15,140
8.2,173
8.25,164
8.3,190
8.35,181
8.4,167
8.45,164
8.5,143
8.55,175
8.6,167
8.65,167
8.7,26
8.75,8
8.8,20
8.85,90
8.9,43
8.95,49
9.0,55
9.05,64
9.1,96
9.15,117
9.2,79
9.25,111
9.3,111
9.35,114
9.4,155
9.45,126
9.5,175
9.55,196
9.6,173
9.65,205
9.7,190
9.75,187
9.8,170
9.85,178
9.9,211
9.95,164
