t,current
0,26
0.05,14
0.1,73
0.15,52
0.2,43
0.25,70
0.3,49
0.35,105
0.4,99
0.45,105
0.5,105
0.55,117
0.6,146
0.65,149
0.7,155
0.75,155
0.8,175
0.85,175
0.9,167
0.95,187
1.0,178
1.05,196
1.1,170
1.15,167
1.2,184
1.25,158
1.3,96
1.35,14
1.4,17
1.45,61
1.5,49
1.55,61
1.6,55
1.65,93
1.7,87
1.75,87
1.8,105
1.85,117
1.9,105
1.95,158
2.0,120
2.05,167
2.1,181
2.15,158
2.2,170
2.25,184
2.3,211
2.35,178
2.4,178
2.45,184
2.5,184
2.55,208
2.6,184
2.65,108
2.7,17
2.75,2
2.8,64
2.85,64
2.9,52
2.95,55
3.0,85
3.05,102
3.1,102
3.15,131
3.2,108
3.25,137
3.3,146
3.35,126
3.4,146
3.45,137
3.5,187
3.55,161
3.6,187
3.65,170
3.7,199
3.75,173
3.8,161
3.85,187
3.9,149
3.95,184
4.0,108
4.05,8
4.1,5
4.15,55
4.2,61
4.25,43
4.3,46
4.35,108
4.4,76
4.45,90
4.5,114
4.55,99
4.6,126
4.65,129
4.7,161
4.75,146
4.8,170
4.85,175
4.9,170
4.95,178
5.0,173
5.05,228
5.1,155
5.15,178
5.2,205
5.25,170
5.3,129
5.35,14
5.4,20
5.45,90
5.5,43
5.55,46
5.6,49
5.65,73
5.7,93
5.75,102
5.8,105
5.85,114
5.9,143
5.95,131
6.0,129
6.05,170
6.1,152
6.15,184
6.2,167
6.25,175
6.3,190
6.35,181
6.4,175
6.45,161
6.5,199
6.55,164
6.6,167
6.65,35
6.7,11
6.75,26
6.8,64
6.85,46
6.9,49
6.95,55
7.0,82
7.05,108
7.1,76
7.15,114
7.2,120
7.25,152
7.3,173
7.35,143
7.4,222
7.45,164
7.5,205
7.55,175
7.6,184
7.65,196
7.7,155
7.75,187
7.8,58
7.85,17
7.9,20
7.95,70
8.0,52
8.05,43
8.1,61
8.15,76
8.2,96
8.25,93
8.3,102
8.35,134
8.4,111
8.45,146
8.5,120
8.55,158
8.6,152
8.65,164
8.7,184
8.75,208
8.8,146
8.85,222
8.9,161
8.95,175
9.0,175
9.05,181
9.1,181
9.15,55
9.2,17
9.25,11
9.3,64
9.35,67
9.4,58
9.45,55
9.5,52
9.55,73
9.6,85
9.65,111
9.7,96
9.75,126
9.8,129
9.85,149
9.9,129
9.95,143
