t,current
0,43
0.05,64
0.1,49
0.15,90
0.2,120
0.25,266
0.3,322
0.35,407
0.4,436
0.45,536
0.5,580
0.55,662
0.6,683
0.65,765
0.7,894
0.75,876
0.8,909
0.85,932
0.9,979
0.95,873
1.0,865
1.05,501
1.1,304
1.15,260
1.2,149
1.25,35
1.3,46
1.35,35
1.4,58
1.45,76
1.5,64
1.55,76
1.6,96
1.65,126
1.7,108
1.75,140
1.8,137
1.85,126
1.9,155
1.95,164
2.0,158
2.05,193
2.1,190
2.15,175
2.2,170
2.25,184
2.3,164
2.35,181
2.4,76
2.45,14
2.5,17
2.55,64
2.6,64
2.65,102
2.7,158
2.75,260
2.8,302
2.85,401
2.9,469
2.95,521
3.0,624
3.05,574
3.1,577
3.15,639
3.2,750
3.25,950
3.3,920
3.35,1029
3.4,1049
3.45,1052
3.5,1026
3.55,1055
3.6,1002
3.65,938
3.7,821
3.75,442
3.8,152
3.85,90
3.9,29
3.95,46
4.0,49
4.05,52
4.1,61
4.15,76
4.2,87
4.25,90
4.3,102
4.35,96
4.4,96
4.45,143
4.5,140
4.55,134
4.6,167
4.65,158
4.7,152
4.75,214
4.8,181
4.85,173
4.9,199
4.95,211
5.0,190
5.05,170
5.1,99
5.15,2
5.2,11
5.25,85
5.3,58
5.35,105
5.4,137
5.45,193
5.5,175
5.55,214
5.6,222
5.65,293
5.7,384
5.75,434
5.8,519
5.85,565
5.9,689
5.95,865
6.0,953
6.05,1064
6.1,1093
6.15,1111
6.2,1090
6.25,1061
6.3,994
6.35,873
6.4,800
6.45,495
6.5,208
6.55,149
6.6,123
6.65,14
6.7,52
6.75,55
6.8,70
6.85,79
6.9,76
6.95,85
7.0,99
7.05,87
7.1,117
7.15,146
7.2,131
7.25,137
7.3,167
7.35,146
7.4,167
7.45,170
7.5,193
7.55,152
7.6,167
7.65,175
7.7,152
7.75,173
7.8,137
7.85,17
7.9,8
7.95,58
8.0,87
8.05,61
8.1,161
8.15,255
8.2,363
8.25,407
8.3,498
8.35,530
8.4,677
8.45,829
8.5,826
8.55,862
8.6,1038
8.65,991
8.7,1096
8.75,1052
8.8,1096
8.85,1082
8.9,1058
8.95,967
9.0,794
9.05,557
9.1,398
9.15,299
9.2,64
9.25,64
9.3,20
9.35,29
9.4,55
9.45,73
9.5,73
9.55,73
9.6,99
9.65,105
9.7,87
9.75,108
9.8,131
9.85,108
9.9,155
9.95,123
