t,current
0,67
0.05,85
0.1,73
0.15,46
0.2,41
0.25,46
0.3,55
0.35,52
0.4,73
0.45,87
0.5,102
0.55,90
0.6,111
0.65,143
0.7,126
0.75,146
0.8,134
0.85,143
0.9,184
0.95,208
1.0,181
1.05,202
1.1,158
1.15,202
1.2,155
1.25,193
1.3,149
1.35,35
1.4,11
1.45,32
1.5,87
1.55,49
1.6,70
1.65,76
1.7,111
1.75,152
1.8,161
1.85,175
1.9,222
1.95,243
2.0,275
2.05,334
2.1,375
2.15,530
2.2,595
2.25,724
2.3,765
2.35,829
2.4,812
2.45,838
2.5,780
2.55,721
2.6,612
2.65,366
2.7,85
2.75,46
2.8,23
2.85,73
2.9,52
2.95,49
3.0,52
3.05,64
3.1,70
3.15,85
3.2,96
3.25,87
3.3,123
3.35,108
3.4,117
3.45,155
3.5,134
3.55,155
3.6,193
3.65,178
3.7,187
3.75,167
3.8,178
3.85,170
3.9,181
3.95,164
4.0,187
4.05,35
4.1,17
4.15,11
4.2,76
4.25,61
4.3,73
4.35,85
4.4,96
4.45,134
4.5,152
4.55,187
4.6,234
4.65,260
4.7,313
4.75,419
4.8,519
4.85,607
4.9,777
4.95,750
5.0,920
5.05,897
5.1,941
5.15,806
5.2,498
5.25,395
5.3,307
5.35,299
5.4,64
5.45,35
5.5,5
5.55,64
5.6,43
5.65,38
5.7,64
5.75,61
5.8,85
5.85,93
5.9,105
5.95,170
6.0,284
6.05,351
6.1,442
6.15,457
6.2,524
6.25,536
6.3,548
6.35,521
6.4,756
6.45,885
6.5,782
6.55,577
6.6,155
6.65,23
6.7,35
6.75,73
6.8,43
6.85,58
6.9,99
6.95,108
7.0,99
7.05,131
7.1,190
7.15,249
7.2,381
7.25,454
7.3,557
7.35,592
7.4,700
7.45,653
7.5,750
7.55,774
7.6,829
7.65,826
7.7,832
7.75,774
7.8,580
7.85,445
7.9,304
7.95,102
8.0,8
8.05,49
8.1,41
8.15,55
8.2,79
8.25,79
8.3,155
8.35,155
8.4,208
8.45,219
8.5,263
8.55,310
8.6,381
8.65,413
8.7,510
8.75,589
8.8,604
8.85,609
8.9,680
8.95,718
9.0,759
9.05,753
9.1,627
9.15,445
9.2,310
9.25,155
9.3,105
9.35,14
9.4,58
9.45,55
9.5,73
9.55,70
9.6,117
9.65,199
9.7,302
9.75,346
9.8,407
9.85,454
9.9,513
9.95,574
