current,position,velocity,time
228,-2222,11588,-14.1065
184,-2935,12187,-14.169
202,-3684,12787,-14.2308
205,-4470,0,-14.2939
117,-4483,599,-14.3564
11,-4429,1198,-14.4189
8,-4339,1798,-14.4807
55,-4213,2397,-14.5439
49,-4051,2997,-14.6064
58,-3853,3596,-14.6689
38,-3619,4195,-14.7306
87,-3350,4995,-14.7936
93,-2934,5594,-14.8563
96,-2580,6193,-14.9188
108,-2191,6793,-14.9806
134,-1615,7592,-15.0587
134,-1142,8191,-15.1212
155,-632,8791,-15.1839
164,-87,9390,-15.2462
184,495,9990,-15.3093
173,1112,10589,-15.3718
184,1765,11388,-15.4343
211,2692,11988,-15.4968
187,3430,12587,-15.5593
