t,current
0,108
0.05,90
0.1,123
0.15,111
0.2,155
0.25,134
0.3,143
0.35,175
0.4,161
0.45,178
0.5,184
0.55,175
0.6,208
0.65,152
0.7,193
0.75,202
0.8,184
0.85,76
0.9,20
0.95,8
1.0,67
1.05,64
1.1,58
1.15,64
1.2,49
1.25,108
1.3,105
1.35,99
1.4,134
1.45,117
1.5,108
1.55,155
1.6,137
1.65,149
1.7,155
1.75,170
1.8,173
1.85,196
1.9,175
1.95,164
2.0,178
2.05,178
2.1,202
2.15,155
2.2,99
2.25,23
2.3,20
2.35,52
2.4,61
2.45,49
2.5,61
2.55,52
2.6,90
2.65,87
2.7,82
2.75,120
2.8,108
2.85,105
2.9,152
2.95,126
3.0,140
3.05,173
3.1,170
3.15,167
3.2,211
3.25,202
3.3,173
3.35,193
3.4,181
3.45,175
3.5,187
3.55,105
3.6,5
3.65,17
3.7,73
3.75,85
3.8,55
3.85,58
3.9,61
3.95,76
4.0,108
4.05,99
4.1,120
4.15,131
4.2,126
4.25,137
4.3,152
4.35,131
4.4,225
4.45,161
4.5,193
4.55,161
4.6,202
4.65,178
4.7,146
4.75,196
4.8,158
4.85,199
4.9,108
4.95,8
5.0,5
5.05,64
5.1,49
5.15,49
5.2,67
5.25,38
5.3,85
5.35,87
5.4,82
5.45,108
5.5,102
5.55,114
5.6,164
5.65,158
5.7,152
5.75,170
5.8,170
5.85,181
5.9,161
5.95,240
6.0,143
6.05,178
6.1,187
6.15,184
6.2,181
6.25,146
6.3,11
6.35,8
6.4,52
6.45,82
6.5,52
6.55,49
6.6,55
6.65,85
6.7,99
6.75,120
6.8,123
6.85,137
6.9,131
6.95,140
7.0,152
7.05,152
7.1,158
7.15,170
7.2,175
7.25,173
7.3,190
7.35,178
7.4,173
7.45,170
7.5,184
7.55,178
7.6,137
7.65,11
7.7,5
7.75,55
7.8,55
7.85,43
7.9,52
7.95,46
8.0,58
8.05,87
8.1,90
8.15,114
8.2,111
8.25,146
8.3,120
8.35,155
8.4,152
8.45,155
8.5,205
8.55,164
8.6,196
8.65,190
8.7,196
8.75,164
8.8,184
8.85,199
8.9,178
8.95,173
9.0,20
9.05,11
9.1,41
9.15,85
9.2,55
9.25,58
9.3,70
9.35,96
9.4,117
9.45,111
9.5,131
9.55,114
9.6,134
9.65,126
9.7,152
9.75,149
9.8,167
9.85,152
9.9,170
9.95,178
