t,current
0,140
0.05,146
0.1,146
0.15,170
0.2,167
0.25,170
0.3,178
0.35,187
0.4,173
0.45,205
0.5,170
0.55,184
0.6,190
0.65,120
0.7,20
0.75,11
0.8,58
0.85,70
0.9,52
0.95,43
1.0,38
1.05,79
1.1,76
1.15,87
1.2,108
1.25,114
1.3,140
1.35,123
1.4,164
1.45,158
1.5,143
1.55,205
1.6,181
1.65,190
1.7,190
1.75,193
1.8,164
1.85,175
1.9,193
1.95,178
2.0,164
2.05,20
2.1,11
2.15,41
2.2,70
2.25,52
2.3,55
2.35,49
2.4,73
2.45,96
2.5,114
2.55,93
2.6,129
2.65,143
2.7,131
2.75,164
2.8,167
2.85,170
2.9,167
2.95,184
3.0,175
3.05,173
3.1,184
3.15,187
3.2,181
3.25,152
3.3,173
3.35,161
3.4,14
3.45,11
3.5,35
3.55,79
3.6,43
3.65,58
3.7,46
3.75,70
3.8,90
3.85,117
3.9,96
3.95,111
4.0,134
4.05,129
4.1,164
4.15,170
4.2,175
4.25,164
4.3,219
4.35,167
4.4,181
4.45,196
4.5,155
4.55,199
4.6,175
4.65,208
4.7,167
4.75,41
4.8,14
4.85,41
4.9,73
4.95,49
5.0,46
5.05,43
5.1,87
5.15,108
5.2,108
5.25,105
5.3,126
5.35,140
5.4,152
5.45,149
5.5,152
5.55,167
5.6,164
5.65,161
5.7,173
5.75,187
5.8,181
5.85,170
5.9,161
5.95,187
6.0,170
6.05,32
6.1,5
6.15,43
6.2,58
6.25,49
6.3,43
6.35,52
6.4,76
6.45,70
6.5,105
6.55,102
6.6,126
6.65,111
6.7,123
6.75,170
6.8,137
6.85,184
6.9,173
6.95,190
7.0,219
7.05,158
7.1,187
7.15,170
7.2,190
7.25,187
7.3,49
7.35,11
7.4,14
7.45,70
7.5,52
7.55,49
7.6,70
7.65,73
7.7,105
7.75,99
7.8,108
7.85,123
7.9,129
7.95,134
8.0,131
8.05,161
8.1,137
8.15,161
8.2,187
8.25,152
8.3,184
8.35,173
8.4,205
8.45,167
8.5,181
8.55,167
8.6,149
8.65,196
8.7,43
8.75,14
8.8,67
8.85,58
8.9,49
8.95,55
9.0,52
9.05,87
9.1,90
9.15,90
9.2,102
9.25,117
9.3,126
9.35,140
9.4,146
9.45,143
9.5,158
9.55,187
9.6,152
9.65,190
9.7,175
9.75,193
9.8,155
9.85,175
9.9,181
9.95,178
