t,current
0,70
0.05,82
0.1,87
0.15,114
0.2,111
0.25,108
0.3,134
0.35,143
0.4,146
0.45,167
0.5,167
0.55,181
0.6,158
0.65,202
0.7,211
0.75,167
0.8,181
0.85,184
0.9,190
0.95,178
1.0,114
1.05,17
1.1,2
1.15,70
1.2,55
1.25,58
1.3,67
1.35,46
1.4,79
1.45,108
1.5,111
1.55,108
1.6,143
1.65,143
1.7,117
1.75,158
1.8,146
1.85,184
1.9,164
1.95,190
2.0,178
2.05,184
2.1,178
2.15,170
2.2,193
2.25,181
2.3,175
2.35,108
2.4,14
2.45,14
2.5,52
2.55,41
2.6,55
2.65,35
2.7,82
2.75,87
2.8,90
2.85,117
2.9,99
2.95,137
3.0,143
3.05,146
3.1,140
3.15,164
3.2,173
3.25,164
3.3,199
3.35,190
3.4,199
3.45,167
3.5,173
3.55,187
3.6,175
3.65,190
3.7,114
3.75,5
3.8,64
3.85,64
3.9,49
3.95,46
4.0,46
4.05,99
4.1,102
4.15,99
4.2,120
4.25,117
4.3,129
4.35,126
4.4,129
4.45,155
4.5,155
4.55,193
4.6,155
4.65,184
4.7,152
4.75,205
4.8,170
4.85,184
4.9,155
4.95,190
5.0,134
5.05,8
5.1,8
5.15,58
5.2,46
5.25,64
5.3,52
5.35,82
5.4,76
5.45,85
5.5,117
5.55,102
5.6,120
5.65,134
5.7,140
5.75,146
5.8,152
5.85,161
5.9,155
5.95,214
6.0,199
6.05,167
6.1,181
6.15,167
6.2,193
6.25,173
6.3,167
6.35,20
6.4,8
6.45,46
6.5,76
6.55,52
6.6,58
6.65,52
6.7,90
6.75,114
6.8,90
6.85,108
6.9,126
6.95,117
7.0,161
7.05,126
7.1,140
7.15,149
7.2,161
7.25,161
7.3,175
7.35,170
7.4,202
7.45,170
7.5,175
7.55,181
7.6,152
7.65,143
7.7,20
7.75,8
7.8,46
7.85,61
7.9,43
7.95,46
8.0,55
8.05,67
8.1,87
8.15,70
8.2,111
8.25,93
8.3,117
8.35,146
8.4,120
8.45,146
8.5,173
8.55,158
8.6,190
8.65,184
8.7,178
8.75,217
8.8,155
8.85,196
8.9,181
8.95,175
9.0,175
9.05,35
9.1,11
9.15,38
9.2,70
9.25,55
9.3,61
9.35,55
9.4,90
9.45,108
9.5,99
9.55,114
9.6,146
9.65,123
9.7,158
9.75,152
9.8,146
9.85,161
9.9,164
9.95,199
