t,current
0,158
0.05,140
0.1,14
0.15,5
0.2,38
0.25,43
0.3,17
0.35,49
0.4,43
0.45,32
0.5,67
0.55,87
0.6,114
0.65,105
0.7,131
0.75,184
0.8,240
0.85,307
0.9,310
0.95,343
1.0,369
1.05,410
1.1,410
1.15,419
1.2,448
1.25,469
1.3,480
1.35,434
1.4,428
1.45,158
1.5,134
1.55,140
1.6,64
1.65,38
1.7,46
1.75,29
1.8,52
1.85,73
1.9,102
1.95,117
2.0,117
2.05,117
2.1,131
2.15,161
2.2,134
2.25,181
2.3,167
2.35,167
2.4,167
2.45,173
2.5,211
2.55,152
2.6,196
2.65,155
2.7,181
2.75,152
2.8,26
2.85,20
2.9,38
2.95,67
3.0,38
3.05,49
3.1,46
3.15,79
3.2,114
3.25,143
3.3,181
3.35,299
3.4,310
3.45,410
3.5,416
3.55,489
3.6,524
3.65,571
3.7,651
3.75,618
3.8,715
3.85,706
3.9,733
3.95,739
4.0,551
4.05,478
4.1,381
4.15,152
4.2,108
4.25,85
4.3,8
4.35,43
4.4,55
4.45,70
4.5,82
4.55,102
4.6,90
4.65,120
4.7,129
4.75,134
4.8,140
4.85,146
4.9,173
4.95,158
5.0,173
5.05,170
5.1,173
5.15,193
5.2,170
5.25,190
5.3,175
5.35,152
5.4,155
5.45,181
5.5,32
5.55,11
5.6,52
5.65,52
5.7,52
5.75,82
5.8,123
5.85,140
5.9,211
5.95,228
6.0,307
6.05,313
6.1,387
6.15,422
6.2,460
6.25,530
6.3,504
6.35,642
6.4,609
6.45,700
6.5,636
6.55,712
6.6,598
6.65,545
6.7,571
6.75,492
6.8,469
6.85,196
6.9,102
6.95,29
7.0,64
7.05,64
7.1,70
7.15,79
7.2,96
7.25,96
7.3,102
7.35,114
7.4,129
7.45,126
7.5,120
7.55,149
7.6,161
7.65,158
7.7,175
7.75,152
7.8,202
7.85,164
7.9,205
7.95,149
8.0,193
8.05,158
8.1,161
8.15,164
8.2,46
8.25,8
8.3,64
8.35,49
8.4,55
8.45,73
8.5,108
8.55,155
8.6,143
8.65,193
8.7,266
8.75,284
8.8,351
8.85,407
8.9,472
8.95,495
9.0,598
9.05,557
9.1,630
9.15,665
9.2,627
9.25,633
9.3,551
9.35,533
9.4,442
9.45,460
9.5,392
9.55,219
9.6,87
9.65,46
9.7,55
9.75,61
9.8,49
9.85,102
9.9,87
9.95,99
