t,current
0,43
0.05,41
0.1,76
0.15,55
0.2,87
0.25,120
0.3,149
0.35,190
0.4,255
0.45,360
0.5,416
0.55,627
0.6,733
0.65,970
0.7,1140
0.75,1269
0.8,1304
0.85,1278
0.9,1287
0.95,1252
1.0,1108
1.05,612
1.1,524
1.15,281
1.2,87
1.25,11
1.3,8
1.35,8
1.4,23
1.45,38
1.5,55
1.55,70
1.6,93
1.65,155
1.7,178
1.75,281
1.8,410
1.85,574
1.9,771
1.95,961
2.0,1158
2.05,1219
2.1,1237
2.15,263
2.2,155
2.25,131
2.3,43
2.35,49
2.4,35
2.45,49
2.5,46
2.55,41
2.6,41
2.65,61
2.7,70
2.75,93
2.8,99
2.85,105
2.9,99
2.95,149
3.0,120
3.05,152
3.1,146
3.15,187
3.2,225
3.25,266
3.3,354
3.35,463
3.4,618
3.45,870
3.5,1052
3.55,1178
3.6,1181
3.65,838
3.7,302
3.75,187
3.8,82
3.85,38
3.9,52
3.95,70
4.0,58
4.05,58
4.1,82
4.15,76
4.2,85
4.25,87
4.3,120
4.35,111
4.4,167
4.45,178
4.5,231
4.55,325
4.6,375
4.65,598
4.7,703
4.75,1026
4.8,1158
4.85,1293
4.9,1187
4.95,1234
5.0,1263
5.05,1096
5.1,387
5.15,143
5.2,49
5.25,35
5.3,43
5.35,49
5.4,52
5.45,55
5.5,93
5.55,96
5.6,114
5.65,149
5.7,167
5.75,252
5.8,343
5.85,521
5.9,683
5.95,882
6.0,1120
6.05,1290
6.1,1404
6.15,1466
6.2,1357
6.25,1181
6.3,1029
6.35,956
6.4,868
6.45,316
6.5,158
6.55,76
6.6,41
6.65,64
6.7,85
6.75,82
6.8,67
6.85,105
6.9,96
6.95,96
7.0,108
7.05,111
7.1,126
7.15,123
7.2,178
7.25,193
7.3,325
7.35,439
7.4,982
7.45,991
7.5,648
7.55,343
7.6,331
7.65,219
7.7,35
7.75,35
7.8,32
7.85,58
7.9,55
7.95,41
8.0,49
8.05,73
8.1,85
8.15,108
8.2,93
8.25,73
8.3,123
8.35,93
8.4,175
8.45,149
8.5,184
8.55,217
8.6,334
8.65,489
8.7,686
8.75,961
8.8,1325
8.85,1343
8.9,1293
8.95,1275
9.0,1149
9.05,1014
9.1,891
9.15,263
9.2,90
9.25,46
9.3,41
9.35,73
9.4,87
9.45,93
9.5,105
9.55,117
9.6,111
9.65,120
9.7,126
9.75,152
9.8,152
9.85,184
9.9,228
9.95,351
