t,current
0,146
0.05,152
0.1,167
0.15,190
0.2,167
0.25,190
0.3,193
0.35,190
0.4,170
0.45,190
0.5,190
0.55,164
0.6,208
0.65,58
0.7,11
0.75,17
0.8,79
0.85,67
0.9,64
0.95,67
1.0,49
1.05,105
1.1,111
1.15,105
1.2,134
1.25,120
1.3,137
1.35,158
1.4,155
1.45,158
1.5,164
1.55,155
1.6,190
1.65,173
1.7,208
1.75,161
1.8,167
1.85,187
1.9,184
1.95,167
2.0,43
2.05,17
2.1,2
2.15,73
2.2,61
2.25,35
2.3,38
2.35,85
2.4,82
2.45,90
2.5,105
2.55,123
2.6,114
2.65,152
2.7,146
2.75,120
2.8,187
2.85,155
2.9,187
2.95,190
3.0,181
3.05,193
3.1,170
3.15,211
3.2,170
3.25,205
3.3,170
3.35,85
3.4,26
3.45,2
3.5,70
3.55,67
3.6,58
3.65,73
3.7,49
3.75,87
3.8,90
3.85,120
3.9,140
3.95,134
4.0,146
4.05,137
4.1,175
4.15,173
4.2,164
4.25,161
4.3,167
4.35,199
4.4,178
4.45,170
4.5,164
4.55,175
4.6,175
4.65,152
4.7,114
4.75,11
4.8,11
4.85,76
4.9,55
4.95,58
5.0,46
5.05,52
5.1,73
5.15,85
5.2,117
5.25,105
5.3,117
5.35,152
5.4,137
5.45,152
5.5,152
5.55,181
5.6,170
5.65,178
5.7,202
5.75,178
5.8,175
5.85,184
5.9,175
5.95,190
6.0,190
6.05,134
6.1,8
6.15,8
6.2,52
6.25,85
6.3,67
6.35,67
6.4,49
6.45,82
6.5,96
6.55,108
6.6,123
6.65,143
6.7,143
6.75,129
6.8,155
6.85,158
6.9,199
6.95,146
7.0,184
7.05,164
7.1,214
7.15,178
7.2,167
7.25,193
7.3,146
7.35,199
7.4,111
7.45,11
7.5,5
7.55,55
7.6,49
7.65,61
7.7,52
7.75,41
7.8,90
7.85,82
7.9,102
7.95,102
8.0,93
8.05,126
8.1,134
8.15,140
8.2,152
8.25,167
8.3,170
8.35,167
8.4,181
8.45,208
8.5,164
8.55,199
8.6,167
8.65,184
8.7,184
8.75,134
8.8,23
8.85,23
8.9,41
8.95,64
9.0,49
9.05,64
9.1,82
9.15,85
9.2,79
9.25,105
9.3,102
9.35,131
9.4,123
9.45,134
9.5,146
9.55,134
9.6,173
9.65,190
9.7,170
9.75,170
9.8,173
9.85,193
9.9,187
9.95,164
